"filename", "language", "JavaScript", "XML", "CSS", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Components/UI/Footer/Footer.module.css", "CSS", 0, 0, 77, 0, 0, 0, 0, 4, 81
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Components/UI/Navbar/Navbar.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 3, 83
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Components/UI/Navbar/Navbar.module.css", "CSS", 0, 0, 106, 0, 0, 0, 0, 4, 110
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Components/UI/Spinner/Spinner.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Components/UI/Spinner/Spinner.module.css", "CSS", 0, 0, 23, 0, 0, 0, 0, 2, 25
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/DUMMY_DATA/DUMMY_DATA.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 1, 75
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Hooks/CustomHooks.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 10, 101
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Pages/CartPage.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Pages/HomePage.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/grandmas-e-commerce-store/src/Pages/LoginPage.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 2, 12
